"Component","N_tests","N_significant","Pct_significant","Mean_pvalue","Median_pvalue","Mean_slope","Mean_rho1"
"EKE",21,0,0,0.324050742083,0.287986986645607,0.45765767527255,0.148481540628786
"MKE",21,0,0,0.549019172577745,0.562568801406599,0.00675004808988999,0.0373071292874538
"MKE/EKE Ratio",21,0,0,0.531111953794089,0.400244963044496,-0.00144807727682124,0.0128677640395486
