"","Mean EKE","P90 EKE","P95 EKE","P99 EKE","Exceed. Freq."
"Mean EKE",1,0.997011953675813,0.988970096877598,0.970368796608207,0.984478593137503
"P90 EKE",0.997011953675813,1,0.995039410886468,0.977251226773818,0.986812474968089
"P95 EKE",0.988970096877598,0.995039410886468,1,0.991835985444794,0.981887642922167
"P99 EKE",0.970368796608207,0.977251226773818,0.991835985444794,1,0.963676846537555
"Exceed. Freq.",0.984478593137503,0.986812474968089,0.981887642922167,0.963676846537555,1
