Metric,Nominal Sig. Cells,FDR-Sig. Cells,MC 95% Threshold,MC p-value,Conclusion
P99 Intensity,502 (4.50%),0 (0.00%),1221.05,0.398,Not Field-Significant
P95 Frequency,750 (6.72%),0 (0.00%),1270.2499999999989,0.232,Not Field-Significant
